ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
512	Human	1	0	义军领袖	[NAME]曾经是义军的领袖，为了推翻腐朽的国家而奔走奋斗。然而最终，[IT]所在的部队却因内斗而解散。		0		2	1			4																				
513	Human	1	0	义军成员	[NAME]曾经参加义军，军旅生涯让[IT]体格强壮。革命的信念让[IT]意志坚定。		0		2																			Strong					
514	Human	1	0	叛党领袖	[NAME]是叛军领袖，[IT]精通指挥，治下残暴而冷酷，率领着手下一边烧杀抢掠，一边与朝廷军队周旋。在一次战役中，[ITS]部队被围剿，[NAME]侥幸留下一条性命。		0	1	2	-2	1		2			1																	
515	Human	1	0	叛党成员	[NAME]因不满高额的赋税而加入叛党。然而叛军烧杀抢掠的行事作风让[IT]忍无可忍。在一个夜里，[IT]杀死同队的几个无恶不作的兵痞后连夜出逃。		0	1	1				4																				
516	Human	1	0	逃犯	[NAME]是越狱的逃犯，数年的潜逃生涯让[ITS]精神极度敏感和紧张。这让[ITS]情绪反应更剧烈，也让[ITS]反应更敏锐。		0	4																				Sensitive					
517	Human	1	0	人屠	[NAME]是一名凶残的刽子手，负责处决死刑犯。手上的无数血腥让[ITS]内心如铁石一般。		0						3															Numbness	Masculinity				
518	Human	1	0	邪派爪牙	[NAME]是一个邪派在凡间的代理人，负责教派在凡间的生意和联络。虽然[IT]完全没有被传授修炼的方法，但也多多少少的见识了很多灵异。		0								4																		
519	Human	1	0	医馆郎中	[NAME]是一家医馆的郎中，虽然[IT]医术并不算高超，但是对付小疾病还是手到擒来。		0									3																	
520	Human	1	0	战地郎中	[NAME]是军队中的随行医生，[ITS]医术精湛，并且随军生涯让[IT]拥有军人的意志。		0	1	1				2			3												Strong					
521	Human	1	0	游方郎中	[NAME]是一名行走江湖的游方郎中，[IT]热爱医术，以救治伤患为己任。大江南北的游历让[IT]见多识广，也磨砺出了[ITS]一身医术。		0									5,2																	
522	Human	1	0	兽医	[NAME]是一名兽医，虽然也能治人，但[ITS]治疗手法很粗犷而不拘小节。		0									2												Rugged					
523	Human	1	0	码头挑夫	[NAME]是码头的挑夫，繁重的工作让[ITS]体格健壮，力量很大。但这也透支了[ITS]身体。		0		2																			HealthOverdraft1	Masculinity				
524	Human	1	0	挑山工	[NAME]是挑山工，繁重的工作让[ITS]体格健壮力量很大。而经常走山路又让[IT]拥有很高的平衡性。但这也透支了[ITS]身体。		0	1	2																			HealthOverdraft1	Masculinity				
525	Human	1	0	武馆教习	[NAME]是武馆的教习，[ITS]身手不错，在当地拥有很不错的名声。\n再一次教导中，[IT]失手摸到了有权有势女徒弟的胸部而被驱逐，失去了所有的财产和身份。		0	1	1		3	-1		1																			
526	Human	1	0	私塾先生	[NAME]是私塾的先生，[ITS]学问高深，但因性格严肃而且十分传统，因此很不受学生的喜爱。在一次科举考试中，[IT]抓到一名贵族舞弊。随后便遭到了报复，被打断了一条腿。		0			-2	1				-4						4							CrippleLeft	Reader				
527	Human	1	0	山地猎人	[NAME]是一名山区的猎人，[ITS]身手矫健，善于利用陷阱狩猎动物。[IT]有一条忠心的猎犬搭档。		0	3	1																								
528	Human	1	0	冰原猎人	[NAME]是一名冰原的猎人。[IT]体格非常健壮，能在冰天雪地中赤膊奔跑而不觉寒冷。		0	1	3				4			1												ColdPatience					
529	Human	1	0	游牧猎人	[NAME]是一名草原的游牧猎人，常年露宿荒野让[IT]无法进入深度睡眠。		0	2	2				4			1												ShallowSleep					
530	Human	1	0	御用猎人	[NAME]是一名皇室的御用猎人，负责教导皇室子弟狩猎的技巧。[ITS]技术超群，善于交际，但皇室的生活也让[IT]对穿着食物有着强烈的需求。		0	2	2	1			4		2																		
531	Human	1	2	媒婆	[NAME]能说会道，最喜欢参合街坊之间的八卦杂事。[IT]热衷于给适龄的年轻人牵线搭桥，是十里八乡有名的媒人。		0			1					6																		
532	Human	1	0	幕僚	[NAME]是一名随军幕僚，[IT]虽然称不上足智多谋，但谨小慎微的性格也让[IT]屡次识破敌人的埋伏和计策。这让[IT]略有一些自得。		0				2		2			3		4				3											
533	Human	1	0	捕快	[NAME]是一名捕快，负责抓捕罪犯。在多年的捕快生涯中，[IT]得罪了很多仇家，也落下一身的伤病。		0	2	1				2															HealthOverdraft1					
534	Human	1	0	相命	[NAME]混迹市井，以给人算命为生。[IT]并没有什么真功夫，只是凭着一张嘴信口开河。只是多年的市井经历让[IT]目光锐利，往往可以把情况说个八九不离十。		0	3		2					4																		
535	Human	1	0	丹青	[NAME]是个笔墨匠人，擅长绘景绘人。[IT]在老家经营有一间书画铺子，以给乡亲们丧葬嫁娶画些字画为生。		0				1										5	3											
536	Human	1	0	伙头兵	[NAME]是一名随军厨师。[IT]习惯大锅做饭，做出来的东西味道不太能指望，但是速度惊人，可以很快的做完大量的饭菜。		0		1				2				5		2			2						Rugged					
537	Human	1	0	马夫	[NAME]在一个马场中某生活。[IT]负责每日给几百匹马剁草，喂食。\n日复一日的重复生活让[IT]倍感乏味，[IT]经常一边喂马一边幻想那些志怪小说中的神奇故事。		0		1		1							2	2		2												
538	Human	1	0	放牧人	[NAME]是一个草原部落的成员。[IT]天生一副好视力，因此被安排为部落的放牧人。\n每日的放牧任务十分繁重，除了防止畜生走失，还要防备进犯的野兽。这让[NAME]身手变得十分矫捷。		0	2	1				2																				
539	Human	1	0	弄潮儿	[NAME]是一名弄潮儿，每年潮汛来临，[IT]就会施展自己的技巧在潮头争锋，以此取悦达官显贵。而在其他时间，[IT]就必须刻苦锻炼，维持自己的状态，以免在来年潮汛时失宠，甚至丢掉性命。		0	2	3																								
540	Human	1	0	风水师	[NAME]是一名风水大师，[IT]名满天下，给无数达官贵人选过阴宅阳宅。甚至当朝皇族都曾聘请[IT]为顾问。		0			2	2			4	6																		
541	Human	1	0	神厨	[NAME]是一家名满天下的餐馆的大厨。[ITS]厨艺高超，传说曾在梦中被仙人带到仙界烹饪美食。		0				1			2			8																
542	Human	1	0	工头	[NAME]是朝廷在地方上的一名工监，[IT]很有能力，被委任给皇帝修建一座奢华的行宫。但其为人苛刻，经常对工人施以酷刑，甚至弄出过不少人命。		0		1	-2					-4			5				2											
543	Human	1	0	建筑家	[NAME]年轻时就成名的著名建筑家，师从天下有名的建筑大师学习建筑之术。\n在[IT]学艺的过程中，就曾经亲手负责一座王府园林的设计与建筑，从此名动天下。		0				2							8,2															
544	Human	1	0	杂技者	[NAME]是一名杂耍人，[IT]和自己的伙伴在各地游荡演出，表演一些奇巧的技艺谋生。多年的演艺生涯让[IT]拥有超出常人的专注力，[IT]可以在漫天喝彩中毫不分心，并进行惊险的动作表演。		0	3	1		1																	GoodMentality					
545	Human	1	0	舞蛇人	[NAME]祖上传下了高超的舞蛇技艺，[IT]从小养了一只剧毒的青蛇，并能与之进行亲密的交流。[IT]靠着这份技巧谋生，甚至躲过了一次同行间的仇杀。		0	2																									
546	Human	1	0	耍猴人	[NAME]是个耍猴艺人，[IT]从小苦练家传的一套打猴鞭绝迹，身手灵活，武艺超群。\n在一次表演中，[ITS]猴子得罪了一个地痞。为了救猴子而被地痞叫人围攻，瞎了一只眼睛。		0	2	2				2															BanLeftEye					
547	Human	1	0	客栈老板	[NAME]在边疆经营有一家客栈，因地处要道，所以生意尚可。只是来往人多且杂，总会发生一些闹事砸场的情况。\n为了应付这些状况，[NAME]雇佣了很多打手，自己也尽可能的学了一些拳脚防身。		0			1	1		2		4																		
548	Human	1	0	俗家信徒	[NAME]过着十分贫穷的生活，这让[IT]终日沉浸在痛苦中。为了在痛苦中找到一丝心灵依托，[NAME]成为了一名俗家信徒，彻底皈依了自己的内心，并从中找到了平静。		0				1						2	2	2			2						GoodMentality					
549	Human	1	0	乞丐	[NAME]本是一名建筑师，有一个美满的家庭，也稍有积蓄。但是一次偶然的经历让[IT]迷上了赌博，这让[IT]倾家荡产，妻离子散，最后沦为了乞丐。		0		-1	-1					4			4															
550	Human	1	0	浪子	[NAME]家学渊源，是书香之后。可是[IT]却厌倦家里给[IT]安排的考取功名的人生轨迹。为此[IT]偷偷练习武艺，离家出走，成为了一名游历于士林和江湖之间的浪子。		0	1	1	1	2		3		2						3												
551	Human	1	2	清倌人	[NAME]本是将军之女，因其父卷入叛党纷争而家破人亡，流落风尘。\n[IT]因才色俱佳而得以成为一名清倌人，不必委身待客。但是朝不保夕的生活让[IT]倍感绝望。		0		-1	3																							
552	Human	1	2	戏子	[NAME]容貌姣好，得以被选中成为一名戏子。随着[IT]名气变大，[IT]得以进入一些达官显贵的府邸表演，这让[IT]尝到了另外一种生活的滋味。[IT]开始变得功利，想攀上一场富贵来摆脱戏子的身份。		0	1		2					4		2		2		4							BeautifulFace1					
553	Human	1	2	烟花女子	[NAME]从小被父亲卖掉还债，因而流落烟花酒巷之中。\n多年混迹风尘，[IT]见惯了世间的种种丑态。但[IT]内心深处依然相信着未来。		0	1		1	1				4		2				4	2						Optimistic					
554	Human	1	0	养蜂人	[NAME]是一名养蜂人，[IT]性格外向，能说会道，[ITS]口才让很多人相信[IT]所售卖的蜂蜜比一般蜂蜜更健康，甚至能延长寿命。因此，不少外地的人都会专程前来买[ITS]蜂蜜。		0			1					6			2	2														
555	Human	1	2	舞女	[NAME]是一名舞女，是一个草台班子的顶梁柱。[IT]有很伤心的过往，因此把这个班子当成了自己的情感寄托，倾注了大量心血。		0		1	2					4						4							Depressed					
556	Human	1	1	纤夫	[NAME]没上过学，空有一身力气的[IT]在河道上谋得一份纤夫的工作为生。因为脑子不太灵光，[IT]总被别人欺负，但[IT]甚至不能察觉别人在欺负[IT]，终日傻乐。		0		4		-2																	Optimistic					
557	Human	1	0	账房	[NAME]给一个大商号管账，[ITS]工作十分繁重，终日在算计庞大金钱的流动变化。除此之外，应付各方的申请和要求也让[IT]殚精竭虑。		0		-1		2				4																		
558	Human	1	0	护院	[NAME]为了报答救命之恩，给当地有名的大善人当护院。[IT]为工作尽心尽力，经常彻夜不睡的巡逻保卫。\n在一次危急情况下，[IT]为自己的雇主挡了致命的一刀，这让[ITS]内脏受了重伤，而且迟迟不能痊愈。		0	2	2				4															OldViscusInjury					
559	Human	1	0	管家	[NAME]的祖父是当朝宰相的管家。在祖父过世后，[IT]继承了这一职位。\n在这个过程中，[IT]不可避免的接触了大量的黑暗内幕，这些官场上的黑暗迅速腐蚀了[IT]，让[IT]变得冷血而无情。		0			2	2		2		6													Distrust					
560	Human	1	0	糖人师傅	[NAME]是一名手艺高超的糖人师傅。[IT]心灵手巧，可以把糖稀捏成惟妙惟肖的各种形状。\n[ITS]手艺深的孩子们的喜欢，[IT]也乐在其中。		0	2									3				3	3											
561	Human	1	0	伐木工	[NAME]是一名伐木工。近年来朝廷大兴土木，[IT]也跟随监工四处奔波。\n在一次林场的开垦中，[IT]们被愤怒的本地人袭击，[IT]在混乱中被人踩断了右腿。		0		1									3										CrippleRight	Masculinity				
562	Human	1	0	矿工	[NAME]卖身给一个矿场当矿工。终日在不见天日的地道中挖矿让[IT]喜欢上了黑暗的环境。辛勤的劳动让[IT]拥有了健壮的体魄。		0		3	-1					-4			2		6								DarkPatience	Masculinity				
563	Human	1	0	矿场监工	[NAME]是一个大家族的旁系子弟，被发配到家族的一座矿场当监工，[IT]厌恶自己的命运和家族的安排，变本加厉的对工人泄怒。这让[IT]变得暴戾而残酷。		0						2					4		4								Cruel					
564	Human	1	0	巫师	[NAME]自称能冥冥之中感应到一些莫名存在的指示，并借助[IT]们的力量趋吉避凶。[IT]花了几年时间经营，成为了一个小有名气的巫师。		0	2						6		2												GoodMentality					
565	Human	1	1	神汉	[NAME]做了一场怪梦，在梦里被所谓的“神”的旨意选中，变成神的代言人。\n一无所长的[IT]在一开始陷入了恐慌之中，然而随着时间推移，[IT]逐渐学会了面不改色的胡言乱语，并在渐渐在巨大权利中迷失了自己，变得荒唐而残忍。		0			1		3				-3	-3	-3	-3	-3	-3	-3						Cruel	BadMentality				
566	Human	1	0	城隍庙祝	[NAME]是城隍庙的庙祝，[IT]为人稳重而宽厚。许多年来，县城的庙会都有[IT]亲历操办，得到乡亲们的拥戴与热爱。		0			2					4		2	2	4		2							Affinity	Industrious				
567	Human	1	0	野道士	[NAME]是一名无名道观中的道士。[IT]无父无母，也无一技之长，终日看道书修炼却不得其门而入。平日里以帮丧葬嫁娶的人家主持一些法事为生。		0							4																			
568	Human	1	0	剑客	[NAME]是一名剑客，[IT]出手时必定带着一张诡异的面具，从不以真面目示人，因此武林中无人知道[ITS]身份。\n[IT]剑术高绝，身手快如闪电，传说中，[ITS]必杀剑出手时，无人可以捕捉到[ITS]身影。		0	3	2		1		6			6												Warrior	Artist				
569	Human	1	0	游侠	[NAME]是一名劫富济贫的侠客，为了逃避官府的追杀通缉，[IT]居无定所，以天地为家。		0	3	1	2			4					2	4														
570	Human	1	0	刺客	[NAME]经历过一段极端贫穷的生活，在那段时间，[IT]学会了隐藏自己的情绪，并且养成了过人的耐心。因此，[IT]被组织发觉，训练为一个秘密刺客。\n明面上，[IT]经营有一家棺材铺，然而暗地里，[IT]随时等候着刺杀命令。		0	3					4			2		4				4											
571	Human	1	0	死士	[NAME]是个混混，以打架极端凶残，悍不畏死而闻名。再一次帮派斗殴中，[IT]身负重伤奄奄一息。然而[ITS]表现被一名路过的官员看在眼里，这名官员偷偷救下[IT]，将[IT]培养成了自己的死士。		0		3				3															Warrior					
572	Human	1	0	弩手	[NAME]是就任于羽林军的精锐弩手。常年的射击训练让[IT]目光敏锐，久经战阵让[IT]遇事沉着。		0	3	1				4															Warrior	GoodMentality				
573	Human	1	0	神箭手	[NAME]本是一名猎户，[IT]箭术高超，能百步外射杀飞奔的麋鹿。\n后来叛军作乱，[IT]应征入伍，用一手惊人的弓术在部队中留下赫赫名声，更被选入朝廷王牌的神射手队伍。		0	3	1				4					2	2			2						Warrior	GoodMentality				
574	Human	1	0	斥候	[NAME]对骑马非常着迷，[IT]热爱在马背上颠簸奔腾，飞驰千里的感觉。\n[IT]对马的热爱和精湛的骑术引起当地驻军的注意，他们向[NAME]承诺，如果[IT]愿意加入军队接受斥候训练，就可以给[IT]顶级的快马驰骋。[NAME]一口答应。		0	2	1				3			2			2			2											
575	Human	1	0	药师	[NAME]特别喜欢研究各种植物。[IT]能迅速而准确的识别森林中的各种植物的性状功用。[IT]为了发挥自己的天赋成为了一名药师。		0	2			1					4			4			4											
576	Human	1	0	守林人	[NAME]的村落背靠大山而建，山上的丛林是他们的天然庇护所，也是他们衣食住行的宝库。 \n为了保护这片丛林，[NAME]加入村落的守林队伍。		0	1	2				3			2	2	2	2														
577	Human	1	0	掮客	[NAME]待人热心，交游广泛。[IT]很擅长在人际关系之间游走，这让[IT]成为一名优秀的掮客。\n[IT]几经跌宕，最终以而立之年积累了大量的财富，并且养成了宠辱不惊的过人心境。		0			3	1				6													GoodMentality					
578	Human	1	0	赌场老板	[NAME]早年在黑道一线打拼，靠着真功夫逐渐向上爬，将许多人踩在了脚下。\n如今，[IT]经营有数家庞大的赌场，[ITS]势力遍布黑白两道，在当地横行霸道，说一不二。		0		2		1		3																				
579	Human	1	0	养蛊人	[NAME]本来是一座南方边境小城的居民。在一次蛮族劫掠中，[IT]被抓走成为俘虏。\n蛮人强迫[IT]进行危险的养蛊工作——这一行当很容易被蛊虫感染死于非命。\n朝不保夕的生活和同事的凄惨的死状让[IT]变得特别容易做噩梦。		0					2				4	2		3			2						HeartKnot					
580	Human	1	1	宦官	[NAME]为了摆脱贫穷的生活，甘愿丢弃男人身份混进宫当了一个小太监。心思深沉渴望权势的[IT]一路走来终于出人头地，成为一个权倾一时的大宦官。\n然而每当想起当年宫刑之痛，[IT]都会被悔恨狠狠的缠绕。		0	1	-1		1				6	2					4	2						HeartKnot	BanPenis				
581	Human	1	0	小地主	[NAME]做生意挣了不少钱，然而[NAME]生性懒散，[IT]厌倦商场的尔虞我诈，只想混个吃饱，过过无所事事的日子。\n于是[NAME]回老家买了一块土地，当了一个小地主。		0			1	3				2			3	6														
582	Human	1	1	面首	[NAME]生的俊美，[IT]被荒淫的当朝皇帝的妹妹相中，成为其面首。\n借助自己的美貌，[IT]为自己的家庭谋取了大量的优越条件，然而也招来了其他面首的嫉恨。最终[IT]被阴谋陷害，失去了宠幸。		0			4					6						4	4						BeautifulFace2					
583	Human	1	0	间谍	[NAME]在京城经营着一家杂货铺，[IT]相貌平平，不善言辞，是一个看上去十分平凡的人。\n然而[IT]却是敌国尽心培育的秘密间谍，[IT]被训练掌握了高深的轻功和窃听技巧，潜伏京城，尽可能的掌握朝廷动向。		0	2	2				4		3		3					4											
584	Human	1	0	盗贼	[NAME]以偷窃为生，但是[ITS]技术很差，经常被人抓到，总是被愤怒的人群殴打。\n这悲惨的遭遇让[IT]浑身是伤，这让[ITS]偷窃变得更艰难了。		0	-1	-1			-1	2																				
585	Human	1	0	扒手	[NAME]拥有一种神奇的敏感，[IT]能一眼看出来一个人有钱没钱，身上的钱装在哪里。因此，[IT]可以轻松的选中那些没有防备的人，从[IT]们身上摸出钱来。		0	4				1		4																			
586	Human	1	0	大善人	[NAME]是十里八乡有名的大善人，[IT]急公好义，乐善好施，善名远扬。\n[NAME]有一个纵横江湖的梦，只是身体太弱无法习武，因此最喜欢资助落魄的江湖豪客。		0		-2	4					6						3												
587	Human	1	1	落选秀才	[NAME]一心想考取功名，但是屡试不中。一次次的失败让[IT]形容枯槁，榨干了[ITS]身体和精神。		0	-2	-2	-2	1				-4	2	2	2	2		3	2						HealthOverdraft2					
588	Human	1	0	宫廷食官	[NAME]是宫廷里的一名食官，[IT]负责品尝每天给皇上的饭菜是否合格。\n从某种程度上来说，这是一种饭来张口的生活，[NAME]因此变得懒惰而颓废。		0	2							4		6		2									Lazy					
589	Human	1	0	衙役	[NAME]是一名官府的衙役，[IT]负责看守大牢，并在必要时对犯人行刑。\n[NAME]很喜欢棍子狠狠打在肉体上的感觉，这让[IT]觉得自己的生活是幸运的。		0		1	-2			3															Cruel					
590	Human	1	0	舞狮人	[NAME]离开贫瘠的家乡去谋生活，[IT]加入一个戏班子去进行巡回表演。\n因为[IT]身手敏捷，为人忠厚，戏班子的领队把舞狮这一重要项目托付给[IT]，[IT]也常常因出色的表现博得满堂喝彩。		0	3	1	1					2	2												Enthusiasm					
591	Human	1	0	道士	[NAME]因为身体先天虚弱，久居于当地一个道观中调养身体。长期的接触让[IT]对道教的理念产生浓厚的兴趣，不久就出家成了一名道士。		0	1			3			5		3			3			3						GoodMentality					
592	Human	1	1	和尚	[NAME]因为一次严重的情感挫折而心如死灰。为了逃避这个世界给[IT]的痛苦，[IT]斩断烦恼丝，出家成为了一名僧人。		0	1			1			4				3	3									GoodMentality	NoHair				
593	Human	1	0	道观观主	[NAME]是一家乡下小道观的观主。[IT]除了每日诵经修道，还经常用自己掌握的医术帮乡亲们治病。\n因此，[ITS]道观虽然规模不大，但在当地的香火名声却也不小。		0				2			4		5			3									Enthusiasm					
594	Human	1	0	寨主	[NAME]是一座山寨的寨主，以劫掠过往商旅为生。\n[NAME]虽说走的是强盗生意，但是很有原则，如不抵抗，绝不会伤人性命。		0		2				6					3															
595	Human	1	0	夺命神医	[NAME]是一代名医，[ITS]医术十分惊人。但有一次治疗一个权贵后，[IT]却被自己的患者恩将仇报。\n[IT]从此性情大变，开始利用自己的医术不露痕迹的夺人性命。[IT]首先就夺取了当初恩将仇报的那名权贵全家百口人的性命。		0				2		3			7																	
596	Human	1	0	天崩	[NAME]的家乡发生过一次天崩，[IT]是唯一的幸存者。[IT]在天崩中被狂暴的元气入体而身负顽疾，但也因此获得了超出常人的气感。		0	3		-1				6														HealthOverdraft2					
597	Human	1	0	灭门之恨	[NAME]的家园被邪教毁灭屠村。这让[IT]失去了所有的亲人，并且给[IT]心中埋下仇恨的种子。[NAME]一心报仇，[IT]绝对不会把时间浪费在生活的琐事上。		0			-2		-1	4,2	2,1														NoMeticulousWork					
598	Human	1	0	寒夜	[NAME]曾经经历过一次寒夜灾难。长达数月寒冷无光，饥寒交迫的经历让[IT]对食物有着异常的执着。		0					2					4																
599	Human	1	0	虫灾	[NAME]生活的城镇爆发过虫灾：所有的食物动物都被虫子吃掉，人们只能躲在地洞里隐藏。为了生存，在长达十几天的虫灾中，大家只能吃虫子充饥。这些可怕的经历成为[NAME]无法抹去的梦魇。		0	1	-1			2																HeartKnot					
600	Human	1	0	玩火自焚	[NAME]从小喜欢火焰，有一次偷偷玩火导致产生火灾。虽然[IT]侥幸从灾难中活下来，但那次灾难让[IT]全身留下恐怖的疤痕。		0		-1			2			-4													UglyFace2					
601	Human	1	0	火灾幸存	[NAME]的家被一场火灾烧成灰烬，这让[IT]留下恐怖的记忆。虽然灾难让[IT]变得坚强，但直到今日，[NAME]看到火就会害怕的失去理智。		0									1	1	4	1	1		1						FearFlame					
602	Human	1	0	雷击	[NAME]曾经被雷击中，从此无法像正常人那样走路了。但是自此之后，[ITS]头脑异常清晰，学东西嗷嗷快。		0	-2	-2		3																	CrippleLeft	CrippleRight				
603	Human	1	0	奇毒缠身	[NAME]小的时候误服过一种迷之植物，因此身中一种奇怪的毒素。这种毒素会让[IT]身体虚弱，但也让[IT]拥有了异常敏锐的感知。		0	5	-2					4																			
604	Human	1	0	失明人	[NAME]曾经遭受过一次意外导致双目失明，然而这却激发了[IT]奋斗的欲望。在之后的几年里，[IT]在艺术上取得了令人瞩目的成就，成为了闻名遐迩的盲人艺术家。		0			3											8,2							BanLeftEye	BanRightEye				
605	Human	1	0	邪教蛊种	[NAME]曾经被邪教修士种入蛊虫，当做培养蛊虫的容器。虽然后来这个邪教修士被剿灭，[IT]也获救，但这段恐怖的经历也给[ITS]肉体留下了不可磨灭的创伤。		0	-3	-5			5		6														HealthOverdraft2					
606	Human	1	0	仙人托梦	[NAME]曾经被仙人托梦，仙人在梦中传授给[IT]许多修行的知识，并在[ITS]脑海中留下了一个神秘的坐标。		-1							4																			
607	Human	1	0	前世未尽	[NAME]不知道怎么回事，脑海中总是会出现一些莫名其妙的记忆片段。这严重的干扰[IT]学习工作生活。		0						-2	-2	-2	-2	-2	-2	-2	-2	-2	-2											
608	Human	1	0	奇遇	[NAME]曾经无意中服食过一颗千年何首乌，这让[IT]经历了伐毛洗髓，并获得了强健的身躯和绝佳的修行天赋。		0		4					8																			
609	Human	1	0	狼灾	[NAME]是北地狼祸的幸存者，[IT]靠着自己超凡的身手，抛下了战友和家人，终于从数千只饿狼口下逃生，这不得不说是一种幸运。但是这也让[ITS]余生充满悔恨，日夜折磨[ITS]灵魂。		0			-2		3	5		-4													HeartKnot					
610	Human	1	1	鲁国学者	[NAME]是来自鲁国的一名学者，[ITS]学识过人但是不谙世事，在路过一个南方小城时，被一个黑作坊骗去文牒证件，抓走做苦力。几年的压榨让[ITS]身体受到极大的损害，为了继续求学，[IT]想尽办法逃了出来。		0		-2		2		-5		-3	2					3	2						HealthOverdraft1	Reader				
100000	Human	2	0	阴神夺舍	[NAME]用阴神夺取了别人的身体，[IT]也因此损伤了魂魄。	1	-1	-2			-2																						
100001	Human	2	0	阳神夺舍	[NAME]用阳神夺取了别人的身体。	1	-1																										
100002	Human	2	0	轮回者	[NAME]的魂魄来自遥远的异界，因命运的召唤降临此界。虽然死亡与轮回能洗去[ITS]记忆，但是每次重生，命运都会指引[IT]走上相似的道路。\n[NAME]在被命运约束的同时，也享受了命运的馈赠，虽然这一切[IT]并不能察觉。		-1	1																				Realization					
100003	Human	2	0	轮回者	[NAME]的魂魄来自遥远的异界，因命运的召唤降临此界。虽然死亡与轮回能洗去[ITS]记忆，但是每次重生，命运都会指引[IT]走上相似的道路。\n[NAME]在被命运约束的同时，也享受了命运的馈赠，虽然这一切[IT]并不能察觉。		-1		1																			Realization					
100004	Human	2	0	轮回者	[NAME]的魂魄来自遥远的异界，因命运的召唤降临此界。虽然死亡与轮回能洗去[ITS]记忆，但是每次重生，命运都会指引[IT]走上相似的道路。\n[NAME]在被命运约束的同时，也享受了命运的馈赠，虽然这一切[IT]并不能察觉。		-1			1																		Realization					
100005	Human	2	0	轮回者	[NAME]的魂魄来自遥远的异界，因命运的召唤降临此界。虽然死亡与轮回能洗去[ITS]记忆，但是每次重生，命运都会指引[IT]走上相似的道路。\n[NAME]在被命运约束的同时，也享受了命运的馈赠，虽然这一切[IT]并不能察觉。		-1				1																	Realization					
100006	Human	2	0	轮回者	[NAME]的魂魄来自遥远的异界，因命运的召唤降临此界。虽然死亡与轮回能洗去[ITS]记忆，但是每次重生，命运都会指引[IT]走上相似的道路。\n[NAME]在被命运约束的同时，也享受了命运的馈赠，虽然这一切[IT]并不能察觉。		-1					1																Realization					
100007	Human	2	0	仙途之约	[NAME]乃是修行者转世，其前世因天道更迭之灾而陨落，虽然历轮回之劫，但昔日于仙途之上立下的约定依然刻印在其元神之中。\n在元神之约的指引下，[NAME]此世注定再结仙缘。会有什么样的故事在等他？现在没有人知道……	1	-1	2	2	2	2	2		10		10					10	10		10									
100008	Human	2	0	仙途之约	[NAME]乃是修行者转世，其前世因天道更迭之灾而陨落，虽然历轮回之劫，但昔日于仙途之上立下的约定依然刻印在其元神之中。\n在元神之约的指引下，[NAME]此世注定再结仙缘。会有什么样的故事在等他？现在没有人知道……	1	-1	2	2	2	2	2		10			10	10			10			10									
100009	Human	2	0	仙途之约	[NAME]乃是修行者转世，其前世因天道更迭之灾而陨落，虽然历轮回之劫，但昔日于仙途之上立下的约定依然刻印在其元神之中。\n在元神之约的指引下，[NAME]此世注定再结仙缘。会有什么样的故事在等他？现在没有人知道……	1	-1	2	2	2	2	2		10					10	10	10			10									
200001	Human	0	0	调皮小鬼	[NAME]从小调皮捣蛋，好吃懒做。虽然在私塾成绩并不出众，然而从不学习的他却总能靠着聪颖的天资通过考核，让人称奇。\n尽管如此，[NAME]却有极强的正义感，这来自于照顾[IT]长大的奶奶言传身教，耳濡目染。	1	-1	-2		1	3																						
200002	Human	1	0	总捕头	朝廷为稽查恶性命案而成立秘密巡捕队，每组由数名精英队员组成。[NAME]以其过人的身手当选二队队长。深受队员的喜欢和爱戴（[IT]是这么想的）。	1	-1						5	5	5																		
200003	Human	0	0	大头怪婴	[NAME]家复姓拼命，玩字辈，排行老三，故得此名。[IT]天生大头，却满脸皱纹，形容老朽。且其关节僵硬，头不能垂，膝不能曲，众人以为不详，避而远之。\n然其耳聪目明，百日能言。九岁便能执笔成文，出口成章，众人无不称奇。	1	-1	3	-1	-3	2																						
200004	Human	1	0	雅艺奇人	[NAME]成年后好玩乐之事，[IT]精通棋艺，罕逢敌手，通宵音律，却无知音，于是遍走天下。所到之处，众人以其形容诡异，以为行尸出土，避之不及。[IT]也顺势自号“玩乐行尸”。	1	-1		2		2		-8		-10						10												
200005	Human	0	0	乖孩子	[NAME]出生在一个小康之家，家庭和睦。[IT]天生怪力，自小爱打抱不平，立志要赚到百两纹银为父母买大宅院住。曾被游方道士说有大器晚成之相。	1	-1	3	-1	1																							
200006	Human	1	0	垦荒人	[NAME]成年后因发现百两纹银并不够买房，便放弃此梦想，改行垦荒，享受偶尔挖到不值钱却稀奇之物的惊奇之感，并向父母谎报挖到之物的价值。与同样有此嗜好的人结为同盟，共同走在垦荒之路上。	1	-1				3	-1	5,2	5,2	2	2	-2				5,2	5,1											
200007	Human	0	0	富家公子	[NAME]是一名异国贵族的长子，优渥的家庭条件使[IT]养成了傲慢不驯的性格，但[IT]还是接受了良好的教育，并且展现了极高的美术和建筑天分。	1	-1	1	1		1																						
