ID	Kind	Name	WorldFlag	Weight	NpcStay	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2	sParam3	fParam3	sParam4	fParam4
20068	SchoolPowerDown	实力下降		1		4		据传{0}的长老修炼时心境崩溃，走火入魔，竟然在派中大开杀戒，门派损失惨重。	EventPower				-242				
20069	SchoolPowerDown	实力下降		1		4		据传{0}的宗门长老被策反，叛逃而去。临走时还趁乱偷取了大量宝物。门派实力大损。	EventPower				-677				
20070	SchoolPowerDown	实力下降		1		4		据传{0}宗门遭遇罕见的连续永夜，门派中药田灵树枯死无数。门派实力大损。	EventPower				-1557				
20071	SchoolPowerDown	实力下降		1		4		据传{0}派中天地灵根成熟时因煞性过重，竟然引来诸多邪魔夺取。双方在派中爆发血战，门派实力大损。	EventPower				-988				
20072	SchoolFillMsg	紧急补充		1		4		据传{0}门中一名闭关千余年的长老{1}成功修成大法出关。{0}再添一名大能。	EventPower				-500	Msg			
20073	SchoolFillMsg	紧急补充		1		4		据传{0}祖师分出化身下凡。{0}再添一名大能。	EventPower				-500	Msg			
20074	SchoolFillMsg	紧急补充		1		4		据传{0}一名长老机缘巧合继承一位上古大能的衣钵，功力大增，直追先天。{0}再添一名大能。	EventPower				-500	Msg			
20075	SchoolPowerUp	实力上升		0		0		据传{0}得到暗中帮助，实力大增。	EventPower				557				
20076	SchoolPowerUp	实力上升		0		0		据传{0}得到暗中帮助，实力大增。	EventPower				344				
20077	SchoolPowerUp	实力上升		0		0		据传{0}得到暗中帮助，实力大增。	EventPower				242				
20078	SchoolPowerUp	实力上升		0		0		据传{0}得到暗中帮助，实力大增。	EventPower				1345				
20079	SchoolPowerUp	实力上升		0		0		据传{0}得到暗中帮助，实力大增。	EventPower				1204				
20080	SchoolPowerUp	实力上升		0		0		据传{0}得到暗中帮助，实力大增。	EventPower				1557				
20081	SchoolPowerUp	实力上升		0		0		据传{0}得到暗中帮助，实力大增。	EventPower				988				
20082	SchoolPowerDown	实力下降		0		0		据传{0}受到暗中阻挠，实力减弱。	EventPower				-789				
20083	SchoolPowerDown	实力下降		0		0		据传{0}受到暗中阻挠，实力减弱。	EventPower				-1756				
20084	SchoolPowerDown	实力下降		0		0		据传{0}受到暗中阻挠，实力减弱。	EventPower				-412				
20085	SchoolPowerDown	实力下降		0		0		据传{0}受到暗中阻挠，实力减弱。	EventPower				-433				
20086	SchoolPowerDown	实力下降		0		0		据传{0}受到暗中阻挠，实力减弱。	EventPower				-445				
20087	SchoolPowerDown	实力下降		0		0		据传{0}受到暗中阻挠，实力减弱。	EventPower				-838				
20088	SchoolPowerDown	实力下降		0		0		据传{0}受到暗中阻挠，实力减弱。	EventPower				-557				
																	
																	
29001		大能陨落				4		{0}的{1}大能因你而陨落了。{0}大为震怒。	EventPower		-300		-1543				
29002		闭门事件				4		{0}近日门派实力损失严重，其下令封闭山门，约束各方弟子，谨慎行止，恢复实力。	EventPower					Close			
29003		闭门结束				4		据传{0}重开山门，开始活跃。	EventPower					Open			
29004		拜访者死亡				4	1	    [NAME]在你的门派丢掉了性命，[TXT]非常生气。									
29005		拜访者离开				4	1	    [NAME]在你的门派得到了[TXT]的款待。									
29006		门派臣服				4	1	    [TXT]无力抵挡你的攻势，只能对你表示臣服，并许诺每年会缴纳贡品，以示尊敬。									
29007		封山开始				4		{0}近日遭人入侵，因此加大了警戒。	EventPower								
29008		封山结束				4		据传{0}停止了警戒状态。	EventPower								
29009		大能陨落				4		{0}的{1}大能因你而陨落了。{0}无可奈何只能表示抗议。	EventPower		-100		0				
29010		弟子陨落				4		{0}的{1}因你而陨落了。{0}大为震怒。	EventPower		-50		-100				
29011		弟子陨落				4		{0}的{1}因你而陨落了。{0}无可奈何只能表示抗议。	EventPower		-50		-100				
